0.057 0.0117078 -0.988293 -0.000306649 0.210911 0.21088 -0.0108487 1.01648 0.0107855 -0.993687 0.278177 0.17824 0.121697
0.058 0.0119188 -0.988082 -0.000317593 0.211105 0.211073 -0.0110404 1.01676 0.0109636 -0.993565 0.27779 0.177854 0.122081
0.059 0.01213 -0.987871 -0.00032873 0.211299 0.211266 -0.0112321 1.01704 0.0111412 -0.993443 0.277402 0.177469 0.122464
0.06 0.0123414 -0.987659 -0.000340057 0.211493 0.211458 -0.0114238 1.01732 0.0113185 -0.99332 0.277014 0.177083 0.122848
0.061 0.012553 -0.987448 -0.000351577 0.211687 0.211651 -0.0116154 1.01759 0.0114954 -0.993197 0.276626 0.176697 0.123231
0.062 0.0127648 -0.987236 -0.000363288 0.211881 0.211844 -0.0118071 1.01787 0.0116719 -0.993073 0.276238 0.176312 0.123614
0.063 0.0129768 -0.987024 -0.000375191 0.212075 0.212037 -0.0119988 1.01815 0.011848 -0.99295 0.275849 0.175926 0.123998
0.064 0.013189 -0.986812 -0.000387286 0.212269 0.21223 -0.0121904 1.01842 0.0120237 -0.992825 0.275461 0.17554 0.124381
0.065 0.0134013 -0.9866 -0.000399572 0.212464 0.212423 -0.0123821 1.0187 0.0121991 -0.992701 0.275073 0.175154 0.124764
0.066 0.0136139 -0.986387 -0.00041205 0.212658 0.212616 -0.0125737 1.01897 0.0123741 -0.992576 0.274685 0.174769 0.125147
0.067 0.0138267 -0.986174 -0.00042472 0.212852 0.212809 -0.0127654 1.01925 0.0125486 -0.992451 0.274296 0.174383 0.125531
0.068 0.0140396 -0.985961 -0.000437581 0.213046 0.213002 -0.012957 1.01952 0.0127228 -0.992325 0.273908 0.173997 0.125914
0.069 0.0142527 -0.985748 -0.000450634 0.21324 0.213195 -0.0131486 1.01979 0.0128966 -0.992199 0.273519 0.173611 0.126297
0.07 0.0144661 -0.985535 -0.000463878 0.213435 0.213388 -0.0133403 1.02007 0.01307 -0.992072 0.273131 0.173225 0.126681
0.071 0.0146796 -0.985322 -0.000477314 0.213629 0.21358 -0.0135319 1.02034 0.0132431 -0.991945 0.272742 0.172839 0.127064
0.072 0.0148933 -0.985108 -0.000490942 0.213823 0.213774 -0.0137235 1.02061 0.0134157 -0.991818 0.272353 0.172453 0.127447
0.073 0.0151073 -0.984894 -0.000504761 0.214018 0.213967 -0.0139151 1.02089 0.013588 -0.99169 0.271964 0.172067 0.12783
0.074 0.0153214 -0.98468 -0.000518772 0.214212 0.21416 -0.0141068 1.02116 0.0137599 -0.991562 0.271575 0.171681 0.128214
0.075 0.0155357 -0.984466 -0.000532975 0.214407 0.214353 -0.0142984 1.02143 0.0139313 -0.991434 0.271186 0.171295 0.128597
0.076 0.0157502 -0.984251 -0.000547369 0.214601 0.214546 -0.01449 1.0217 0.0141024 -0.991305 0.270797 0.170909 0.12898
0.077 0.0159649 -0.984037 -0.000561955 0.214796 0.214739 -0.0146816 1.02197 0.0142732 -0.991176 0.270408 0.170523 0.129363
0.078 0.0161798 -0.983822 -0.000576732 0.214991 0.214932 -0.0148732 1.02224 0.0144435 -0.991047 0.270019 0.170136 0.129746
0.079 0.0163949 -0.983607 -0.000591701 0.215185 0.215125 -0.0150648 1.02251 0.0146134 -0.990917 0.26963 0.16975 0.13013
0.08 0.0166102 -0.983391 -0.000606862 0.21538 0.215318 -0.0152564 1.02278 0.014783 -0.990786 0.26924 0.169364 0.130513
0.081 0.0168256 -0.983176 -0.000622214 0.215575 0.215511 -0.015448 1.02305 0.0149522 -0.990656 0.268851 0.168978 0.130896
0.082 0.0170413 -0.98296 -0.000637758 0.215769 0.215704 -0.0156396 1.02332 0.0151209 -0.990524 0.268461 0.168591 0.131279
0.083 0.0172572 -0.982745 -0.000653493 0.215964 0.215898 -0.0158311 1.02359 0.0152893 -0.990393 0.268072 0.168205 0.131662
0.084 0.0174732 -0.982529 -0.00066942 0.216159 0.216091 -0.0160227 1.02385 0.0154574 -0.990261 0.267682 0.167818 0.132045
0.085 0.0176895 -0.982312 -0.000685538 0.216354 0.216284 -0.0162143 1.02412 0.015625 -0.990129 0.267293 0.167432 0.132429
0.086 0.0179059 -0.982096 -0.000701848 0.216549 0.216477 -0.0164059 1.02439 0.0157922 -0.989996 0.266903 0.167045 0.132812
0.087 0.0181226 -0.98188 -0.00071835 0.216744 0.216671 -0.0165975 1.02465 0.0159591 -0.989863 0.266513 0.166659 0.133195
0.088 0.0183394 -0.981663 -0.000735043 0.216939 0.216864 -0.0167891 1.02492 0.0161255 -0.98973 0.266123 0.166272 0.133578
0.089 0.0185565 -0.981446 -0.000751928 0.217134 0.217057 -0.0169807 1.02519 0.0162916 -0.989596 0.265733 0.165886 0.133961
0.09 0.0187737 -0.981229 -0.000769005 0.217329 0.21725 -0.0171723 1.02545 0.0164573 -0.989462 0.265343 0.165499 0.134345
0.091 0.0189911 -0.981011 -0.000786273 0.217524 0.217444 -0.0173638 1.02572 0.0166226 -0.989327 0.264953 0.165112 0.134728
0.092 0.0192087 -0.980794 -0.000803732 0.217719 0.217637 -0.0175554 1.02598 0.0167875 -0.989193 0.264562 0.164726 0.135111
0.093 0.0194266 -0.980576 -0.000821384 0.217914 0.217831 -0.017747 1.02625 0.0169521 -0.989057 0.264172 0.164339 0.135494
0.094 0.0196446 -0.980358 -0.000839226 0.218109 0.218024 -0.0179386 1.02651 0.0171162 -0.988922 0.263782 0.163952 0.135877
0.095 0.0198628 -0.98014 -0.000857261 0.218304 0.218217 -0.0181302 1.02677 0.01728 -0.988785 0.263391 0.163565 0.13626
0.096 0.0200812 -0.979922 -0.000875487 0.2185 0.218411 -0.0183218 1.02704 0.0174433 -0.988649 0.263 0.163178 0.136644
0.097 0.0202998 -0.979703 -0.000893904 0.218695 0.218604 -0.0185134 1.0273 0.0176063 -0.988512 0.26261 0.162792 0.137027
0.098 0.0205186 -0.979484 -0.000912514 0.21889 0.218798 -0.018705 1.02756 0.0177689 -0.988375 0.262219 0.162405 0.13741
0.099 0.0207376 -0.979266 -0.000931314 0.219086 0.218991 -0.0188966 1.02782 0.0179311 -0.988237 0.261828 0.162018 0.137793
0.1 0.0209567 -0.979046 -0.000950307 0.219281 0.219185 -0.0190882 1.02809 0.018093 -0.988099 0.261437 0.161631 0.138176
0.101 0.0211761 -0.978827 -0.000969491 0.219477 0.219378 -0.0192797 1.02835 0.0182544 -0.987961 0.261046 0.161243 0.138559
0.102 0.0213957 -0.978608 -0.000988866 0.219672 0.219572 -0.0194713 1.02861 0.0184154 -0.987822 0.260655 0.160856 0.138943
0.103 0.0216155 -0.978388 -0.00100843 0.219868 0.219765 -0.019663 1.02887 0.0185761 -0.987683 0.260264 0.160469 0.139326
0.104 0.0218354 -0.978168 -0.00102819 0.220064 0.219959 -0.0198546 1.02913 0.0187364 -0.987544 0.259873 0.160082 0.139709
0.105 0.0220556 -0.977948 -0.00104814 0.220259 0.220153 -0.0200462 1.02939 0.0188963 -0.987404 0.259482 0.159695 0.140092
0.106 0.0222759 -0.977728 -0.00106828 0.220455 0.220346 -0.0202378 1.02965 0.0190558 -0.987263 0.25909 0.159307 0.140476
0.107 0.0224965 -0.977507 -0.00108862 0.220651 0.22054 -0.0204294 1.02991 0.0192149 -0.987123 0.258699 0.15892 0.140859
0.108 0.0227172 -0.977287 -0.00110914 0.220846 0.220734 -0.020621 1.03017 0.0193736 -0.986982 0.258307 0.158532 0.141242
0.109 0.0229382 -0.977066 -0.00112986 0.221042 0.220927 -0.0208126 1.03042 0.019532 -0.98684 0.257915 0.158145 0.141625
0.11 0.0231593 -0.976845 -0.00115077 0.221238 0.221121 -0.0210043 1.03068 0.0196899 -0.986698 0.257524 0.157758 0.142009
0.111 0.0233807 -0.976624 -0.00117187 0.221434 0.221315 -0.0211959 1.03094 0.0198475 -0.986556 0.257132 0.15737 0.142392
0.112 0.0236022 -0.976402 -0.00119316 0.22163 0.221509 -0.0213875 1.0312 0.0200046 -0.986414 0.25674 0.156982 0.142775
0.113 0.0238239 -0.976181 -0.00121464 0.221826 0.221703 -0.0215792 1.03145 0.0201614 -0.986271 0.256348 0.156595 0.143158
0.114 0.0240458 -0.975959 -0.00123632 0.222022 0.221897 -0.0217708 1.03171 0.0203178 -0.986127 0.255956 0.156207 0.143542
0.115 0.024268 -0.975737 -0.00125819 0.222218 0.22209 -0.0219625 1.03196 0.0204738 -0.985984 0.255563 0.155819 0.143925
0.116 0.0244903 -0.975515 -0.00128024 0.222414 0.222284 -0.0221541 1.03222 0.0206295 -0.98584 0.255171 0.155431 0.144308
0.117 0.0247128 -0.975292 -0.00130249 0.222611 0.222478 -0.0223458 1.03247 0.0207847 -0.985695 0.254779 0.155044 0.144692
0.118 0.0249355 -0.97507 -0.00132494 0.222807 0.222672 -0.0225375 1.03273 0.0209396 -0.98555 0.254386 0.154656 0.145075
0.119 0.0251584 -0.974847 -0.00134757 0.223003 0.222866 -0.0227292 1.03298 0.021094 -0.985405 0.253994 0.154268 0.145458
0.12 0.0253815 -0.974624 -0.00137039 0.223199 0.22306 -0.0229208 1.03324 0.0212481 -0.985259 0.253601 0.15388 0.145842
0.121 0.0256048 -0.974401 -0.00139341 0.223396 0.223254 -0.0231125 1.03349 0.0214018 -0.985113 0.253208 0.153492 0.146225
0.122 0.0258283 -0.974178 -0.00141662 0.223592 0.223448 -0.0233042 1.03374 0.0215551 -0.984967 0.252815 0.153103 0.146608
0.123 0.026052 -0.973954 -0.00144002 0.223789 0.223642 -0.0234959 1.034 0.021708 -0.98482 0.252422 0.152715 0.146992
0.124 0.0262759 -0.97373 -0.00146361 0.223985 0.223836 -0.0236876 1.03425 0.0218605 -0.984673 0.252029 0.152327 0.147375
0.125 0.0265 -0.973506 -0.00148739 0.224182 0.224031 -0.0238794 1.0345 0.0220126 -0.984525 0.251636 0.151939 0.147759
0.126 0.0267242 -0.973282 -0.00151137 0.224378 0.224225 -0.0240711 1.03475 0.0221644 -0.984377 0.251243 0.15155 0.148142
0.127 0.0269487 -0.973058 -0.00153554 0.224575 0.224419 -0.0242628 1.035 0.0223157 -0.984229 0.25085 0.151162 0.148526
0.128 0.0271734 -0.972833 -0.00155989 0.224772 0.224613 -0.0244546 1.03525 0.0224667 -0.98408 0.250456 0.150774 0.148909
0.129 0.0273983 -0.972609 -0.00158445 0.224969 0.224807 -0.0246463 1.0355 0.0226173 -0.983931 0.250063 0.150385 0.149293
0.13 0.0276233 -0.972384 -0.00160919 0.225165 0.225002 -0.0248381 1.03575 0.0227675 -0.983782 0.249669 0.149997 0.149676
0.131 0.0278486 -0.972159 -0.00163412 0.225362 0.225196 -0.0250298 1.036 0.0229173 -0.983632 0.249276 0.149608 0.15006
0.132 0.0280741 -0.971933 -0.00165925 0.225559 0.22539 -0.0252216 1.03625 0.0230667 -0.983482 0.248882 0.149219 0.150443
0.133 0.0282997 -0.971708 -0.00168456 0.225756 0.225585 -0.0254134 1.0365 0.0232157 -0.983331 0.248488 0.148831 0.150827
0.134 0.0285256 -0.971482 -0.00171007 0.225953 0.225779 -0.0256052 1.03675 0.0233644 -0.98318 0.248094 0.148442 0.15121
